Rank,Player,Team,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Pts
225,"Roby, Bradley",DEN,DB,36.2,9.1,0.2,11.5,1.9,1.3,0,0.2,57.4
226,"Campbell, Calais",JAC,DL,33.4,13.4,8.1,4.6,0.3,2,2,0.2,57.3
227,"Lawrence, Demarcus",DAL,DL,37,19.3,8.6,0.3,0,1.5,0,0,57.1
228,"Cooper, Marcus",CHI,DB,44,4.3,0,6.7,2.1,0,0,0,57.1
229,"Avril, Cliff",SEA,DL,31,14.7,11.7,2.1,0,4.2,0.7,0,57.1
230,"Kennard, Devon",NYG,LB,43.4,21.9,0.6,0.8,0,0.6,0.6,0,57
231,"Byard, Kevin",TEN,DB,44,12.1,0.6,4.7,0.5,0.3,0.3,0,56.9
232,"Sherman, Richard",SEA,DB,33.6,17.4,0,10.8,1.8,0,0,0,56.8
233,"Lattimore, Marshon",NOR,DB,41.2,8.2,0.9,8.5,0.7,0.3,0.3,0,56.8
234,"Newman, Terence",MIN,DB,41.5,7.7,0,8.7,1.2,0,0,0,56.5
235,"Ogbah, Emmanuel",CLE,DL,41,23.5,3.1,0.5,0,0,0,0,56.4
236,"Williams, P.J.",NOR,DB,39.9,18.7,0,4.8,0.4,1.2,0.4,0,56.4
237,"Hicks, Akiem",CHI,DL,35,18.1,7,2.7,0,1.2,1.1,0,56
238,"LeBlanc, Cre'von",CHI,DB,45.4,4.4,0,6.1,1.1,0,0,0.2,55.9
239,"Clowney, Jadeveon",HOU,LB,35,15.4,5.6,4.6,1,1,0,0,55.9
240,"Rollins, Quinten",GBP,DB,48,1.5,0,6.5,0.2,0,0,0,55.6
241,"McCoy, Gerald",TBB,DL,35,12.1,9.5,3,0,1,0.8,0,55.4
242,"Young, Tavon",BAL,DB,38.7,10.2,0,7.7,1.9,0,0,0,55.4
243,"Ray, Shane",DEN,LB,35.9,11.9,8.7,1,0,1.7,1.6,0.2,55
244,"Allen, Jonathan",WAS,DL,35,15.9,7.1,1.9,0,2,0.7,0,54.8
245,"Tuitt, Stephon",PIT,DL,36,17.6,3.8,3.6,0.6,0.6,0.6,0,54.5
246,"Hall, DeAngelo",WAS,DB,40.9,13.5,0,2.3,1.4,0.8,0.8,0.2,54.4
247,"Casey, Jurrell",TEN,DL,34.6,17.8,6.2,4.6,0,0,0,0,54.4
248,"Melvin, Rashaan",IND,DB,43,10.2,0,5,0,0.9,0.2,0,54.3
249,"Edwards, Mario",OAK,DL,39.6,9.9,4.8,1.4,0,2.4,1,0,54.2
250,"Ansah, Ezekiel",DET,DL,34.2,15.8,9.2,0.5,0,1.4,0.9,0,54
251,"Rodgers-Cromartie, Dominique",NYG,DB,30.1,6.1,1.1,12,3.3,0.8,0,0,53.6
252,"Blackmon, Will",WAS,DB,36.2,13.3,0.7,3.9,2.4,0.8,0.6,0,53.6
253,"Irvin, Bruce",OAK,LB,38.5,9.1,4.7,1.2,0,4.5,0,0,53.5
254,"Jones, Chris",KCC,DL,35.2,9.6,3.4,7.9,0,1.9,0.3,0,53.4
255,"Gaines, E.J.",BUF,DB,41.1,10.2,0,5.3,0,1,1,0.2,53.4
256,"Richardson, Sheldon",NYJ,DL,33,25.5,2.7,2.3,0,1.4,1.2,0,53.4
257,"Charlton, Taco",DAL,DL,33,10.4,9.9,2,0.3,2.1,0.7,0,53.4
258,"Amukamara, Prince",CHI,DB,43.1,5.6,0.6,6.5,0,0.4,0,0,53.4
259,"McMillan, Raekwon",MIA,LB,42.1,17.8,1,1.3,0,0,0,0,53.4
260,"Joseph, Linval",MIN,DL,35,26,2.7,0.4,0,2.1,0,0,53.1
261,"Grimes, Brent",TBB,DB,31.7,3.7,0,13.5,2.5,1,0,0.2,53.1
262,"White, Tre'Davious",BUF,DB,35.8,15.6,0,6.7,0.9,0.5,0,0,52.7
263,"Thomas, Solomon",SFO,DL,36.6,19.7,3.9,0.9,0,0.9,0,0,52.2
264,"Bennett, Michael",SEA,DL,32,16.1,9.5,1.7,0,0.9,0,0,52.2
265,"Campbell, Ibraheim",CLE,DB,39.1,17.4,0.6,2.4,0.6,0,0,0.2,52
266,"Jackson, Malik",JAC,DL,36,7.4,6.5,4.9,0,0.3,0.3,0,51.8
267,"Boddy-Calhoun, Briean",CLE,DB,36.3,7,0.9,7.8,1.6,0,0,0.2,51.7
268,"Addison, Mario",CAR,DL,30,6.6,12.7,1.6,0,3,1.1,0,51.7
269,"Suggs, Terrell",BAL,LB,32,11.2,7.6,3.5,0,2.6,0.2,0,51.5
270,"Wright, Shareece",BUF,DB,37.9,7.9,0.3,7.5,0.9,0,0,0,51.5
271,"Johnson, Dontae",SFO,DB,37.5,7.8,0,8.3,0.9,0,0,0.1,51.3
272,"Ealy, Kony",NEP,DL,27,24.5,5.9,2.4,0.8,1.5,0.4,0,50.9
273,"Dennard, Darqueze",CIN,DB,41.1,12.4,0.2,2.9,0.2,0,0,0,50.9
274,"Branch, Andre",MIA,DL,31,21.4,4.7,2.5,0,1.9,0,0,50.8
275,"Lawson, Shaq",BUF,DL,40,18.4,1.1,0.5,0,0,0,0,50.7
276,"Claiborne, Morris",NYJ,DB,39.6,5.1,0.9,6.2,0.6,0,0,0,50.5
277,"Van Noy, Kyle",NEP,LB,30.9,24.1,0.4,3.2,0.6,2.7,0,0,50.4
278,"Wolfe, Derek",DEN,DL,35.9,11.1,4.9,3.3,0,0.3,0.3,0,50.3
279,"Barwin, Connor",LAR,LB,33,17.7,5.8,2.5,0,0,0,0,50.2
