Player,Team,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
,high,0,0,0,44,607,3.1,0.6,79.3
,low,0,0,0,19,243,1,0.6,30.3
Markus Wheaton,CHI ,0.1,0.9,0,26.7,366.2,2,1.2,46.5
,high,0.3,2.8,0,40.1,541.9,3,1.2,109.9
,low,0,0,0,17,215,1,1.2,27.5
Braxton Miller,HOU ,3.6,21.4,0.1,28.9,314.5,1.9,0.3,44.7
,high,8.8,55.3,0.2,41.2,456.2,3.1,0.3,112
,low,0.1,0.8,0,10.5,115.1,0.6,0.3,15
Paul Richardson,SEA ,0.5,2.3,0,24.1,327.1,1.9,0.1,44.3
,high,1,4,0,33.5,441,3,0.1,93.9
,low,0,0,0,8,124,0.6,0.1,16
Brandon Coleman,NO ,0,0,0,25.1,320.6,2.1,0.3,44
,high,0,0,0,38,470,3,0.3,65
,low,0,0,0,18.9,264.2,1.3,0.3,33.1
Charone Peake,NYJ ,0,0,0,29.9,349.2,1.6,0.3,43.8
,high,0,0,0,39.4,457,2,0.3,95.9
,low,0,0,0,22,245,1,0.3,30.5
Jaelen Strong,HOU ,0,0.3,0,28.7,336.9,1.6,0.3,42.8
,high,0.1,1,0,36,400.7,2.1,0.3,50.9
,low,0,0,0,19.3,248.6,1,0.3,34.3
Cooper Kupp,LAR ,0,0,0,28.2,336.9,1.5,0.6,41.4
,high,0,0,0,41,476,2,0.6,59.6
,low,0,0,0,22.7,253.2,1,0.6,37.7
Malcolm Mitchell,NE ,0,0.1,0,22.8,286.8,2.1,0.3,40.6
,high,0.1,0.2,0,44,528,4.1,0.3,77.4
,low,0,0,0,6,77,0,0.3,7.7
Jaron Brown,ARI ,0,0,0,22.2,300.1,1.8,0.4,40
,high,0,0,0,38,536,3.1,0.4,72.2
,low,0,0,0,4.4,64.7,0.5,0.4,9.3
Carlos Henderson,DEN ,0,0,0,24.1,314.7,1.6,0.8,39.5
,high,0,0,0,41.3,510.6,2.6,0.8,108.5
,low,0,0,0,7,89,0,0.8,8.9
Brice Butler,DAL ,0,0,0,18.7,267.2,2.2,0.3,39.4
,high,0,0,0,26,391,3.3,0.3,58.9
,low,0,0,0,13,187,1,0.3,24.7
Marquess Wilson,NYJ ,0,0,0,22.8,320.9,1.3,0.3,39
,high,0,0,0,26.5,333.8,1.5,0.3,68.6
,low,0,0,0,19,308,1,0.3,36.8
Mike Williams,LAC ,0,0,0,21.9,289.9,1.9,0.6,39
,high,0,0,0,33.1,418,2.7,0.6,58
,low,0,0,0,11.4,151.4,1,0.6,24.5
Kamar Aiken,IND ,0,0,0,21.4,282.2,1.9,0.4,38.6
,high,0,0,0,33,469,2.6,0.4,62.5
,low,0,0,0,10.5,119.6,0.9,0.4,17.3
JuJu Smith-Schuster,PIT ,0,0,0,22.1,283.8,1.4,0.3,36.1
,high,0,0,0,28.2,360.3,2,0.3,48.4
,low,0,0,0,18,239,1,0.3,29.9
Geronimo Allison,GB ,0,-0.1,0,18.4,258.4,1.7,0.3,35.7
,high,0,0,0,27,381,2.2,0.3,51.3
,low,0,-0.2,0,13,156,1,0.3,21.6
Victor Cruz,CHI ,0.5,2,0,21.2,303.3,1,1.5,33.8
,high,1,4,0,33,519,2,1.5,59.1
,low,0,0,0,10,133,0,1.5,13.3
Andre Ellington,ARI ,20.4,87.4,0.5,25.8,181.1,0.4,0,32.6
,high,20.4,87.4,0.5,25.8,181.1,0.4,0,31.9
,low,20.4,87.4,0.5,25.8,181.1,0.4,0,31.9
Danny Amendola,NE ,0.1,0,0,21.8,250.3,1.9,2.1,32.4
,high,0.1,0.1,0,31,370.2,2.9,2.1,54.8
,low,0,0,0,10,122,1,2.1,18.2
Taywan Taylor,TEN ,0,0,0,18.7,236.1,1.6,0.6,32.2
,high,0,0,0,30,396,2.4,0.6,54
,low,0,0,0,12.1,145.4,0.8,0.6,19.4
Rod Streater,BUF ,0,0,0,18.4,235.3,1.5,0.3,31.8
,high,0,0,0,20,270,1.9,0.3,38.4
,low,0,0,0,16,195,1,0.3,25.5
Dontrelle Inman,LAC ,0,0,0,17.8,249.1,1.3,0.5,31.5
,high,0,0,0,25,370.8,1.7,0.5,47.1
,low,0,0,0,11,143,1,0.5,20.3
Cordarrelle Patterson,OAK ,5.5,43.3,0.1,19,193.3,1.3,0.4,31.2
,high,12.1,98.6,0.3,33,317,2.1,0.4,46.4
,low,1.3,8.4,0,8,111,0.9,0.4,17.1
Dede Westbrook,JAC ,0,0,0,19,239.1,1.3,0.7,30.2
,high,0,0,0,32,368,2.3,0.7,50.6
,low,0,0,0,11,156,0.8,0.7,21.6
Kenny Bell,BAL ,0,0,0,18,242,1,0,30.2
,high,0,0,0,18,242,1,0,30.2
,low,0,0,0,18,242,1,0,30.2
Chad Hansen,NYJ ,0,0,0,18,246,1.1,0.6,30
,high,0,0,0,18,246,1.1,0.6,31.2
,low,0,0,0,18,246,1.1,0.6,31.2
Ricardo Louis,CLE ,0,-0.1,0,21.5,254.1,0.7,0.3,29.3
,high,0.1,0,0,29,333.8,1.3,0.3,70.2
,low,0,-0.2,0,8,95,0,0.3,9.5
Roger Lewis,NYG ,0,0,0,17.4,214.6,1.3,0.4,28.3
,high,0,0,0,27,324,1.9,0.4,43.8
,low,0,0,0,6,73,0,0.4,7.3
Chad Williams,ARI ,0,0,0,16.4,210.7,1.4,0.7,28.1
,high,0,0,0,25.7,337.7,2,0.7,71.2
,low,0,0,0,9,114,1,0.7,17.4
Justin Hardy,ATL ,0,0,0,15.7,192.1,1.5,0.1,28.1
,high,0,0,0,29.3,400.9,2.2,0.1,52.7
,low,0,0,0,7,75,0.9,0.1,12.9
Michael Floyd,MIN ,0,0,0,16,198.4,1.3,0.2,27.3
,high,0,0,0,29,315,2.3,0.2,45.3
,low,0,0,0,11,144,0.9,0.2,20.4
Aldrick Robinson,SF ,1.3,7.7,0,14.6,205.4,1.1,0.4,27.1
,high,3.8,23.2,0.1,23,313,2,0.4,46.8
,low,0,0,0,5.4,75.2,0.6,0.4,11.2
Bennie Fowler,DEN ,0,0,0,17.6,217.6,1,0.4,26.8
,high,0,0,0,22,288,1.2,0.4,34.8
,low,0,0,0,10,125,0.7,0.4,18.5
TJ Jones,DET ,0,0.1,0,16,209.9,1.2,0.9,26.5
,high,0.1,0.4,0,23,285.3,1.7,0.9,39.2
,low,0,0,0,11,133,1,0.9,19.3
Russell Shepard,CAR ,1.7,6.8,0,14,201.8,0.9,0.3,25.6
,high,3,15,0,23,340,1.8,0.3,44.8
,low,0.4,-1.4,0,6,77,0,0.3,8.2
Brian Quick,WAS ,0,0,0,15.9,201.9,0.9,0.1,25.2
,high,0,0,0,28.6,332.6,2.3,0.1,47.5
,low,0,0,0,8,98,0,0.1,9.8
Justin Hunter,PIT ,0,0,0,11.8,163,1.5,0.2,24.7
,high,0,0,0,24,344,5.3,0.2,66.2
,low,0,0,0,4.3,74.8,0,0.2,7.7
Chester Rogers,IND ,0,0,0,15,197.9,0.9,0.3,24.4
,high,0,0,0,27.6,361.4,2.6,0.3,79.4
,low,0,0,0,5.4,72.2,0,0.3,7.4
Deonte Thompson,CHI ,0,0,0,16.2,191.5,1.1,0.8,24.4
,high,0,0,0,18.5,233.9,1.3,0.8,30.2
,low,0,0,0,14,149,1,0.8,20.9
Andre Roberts,ATL ,0,0,0,14.8,203.3,1.2,2,23.8
,high,0,0,0,30,441,2.6,2,59.7
,low,0,0,0,5.3,62.2,0.4,2,8.6
Sammie Coates,PIT ,1.5,13.4,0.1,9.6,170.8,0.8,0.2,23.4
,high,2,16.8,0.2,13,278,1.5,0.2,33.2
,low,1,10,0,4,58,0,0.2,6.8
