Player,Team,REC,YDS,TDS,FL,FPTS
,low,5.8,61.2,0.4,0,14.1
Matt Lengel,NE ,4.5,51.3,0.6,0,8.5
,high,5,61.9,0.7,0,10.6
,low,4,40.8,0.4,0,10.6
Michael Hoomanawanui,NO ,6.1,54.1,0.7,0.5,8.3
,high,8,57.4,1.5,0.5,14
,low,5,50,0,0.5,5.5
Tyler Kroft,CIN ,7,71.5,0.2,0.1,8.1
,high,12,135,0.7,0.1,13.5
,low,3,30,0,0.1,3
Eric Saubert,ATL ,6.3,72,0.1,0,8
,high,10,116,0.4,0,11.6
,low,4,49,0,0,4.9
David Johnson,PIT ,5.9,63,0.4,0.3,7.9
,high,8.8,95,0.8,0.3,13.9
,low,3,31,0,0.3,3.1
Asante Cleveland,LAC ,5.5,51.4,0.4,0,7.7
,high,5.5,51.4,0.4,0,7.6
,low,5.5,51.4,0.4,0,7.6
Neal Sterling,JAC ,8,73,0.1,0.1,7.7
,high,8,73,0.1,0.1,7.9
,low,8,73,0.1,0.1,7.9
Matt LaCosse,NYG ,5.6,54.3,0.4,0,7.7
,high,6,60.8,0.5,0,15
,low,5.2,47.8,0.3,0,6.5
David Morgan,MIN ,6.8,55.3,0.4,0,7.7
,high,9.4,67.8,0.8,0,11
,low,4,35,0,0,5.3
John Phillips,NO ,6.3,46.5,0.5,0.1,7.7
,high,8,58,0.7,0.1,10
,low,4.6,35.1,0.4,0.1,5.8
Ifeanyi Momah,ARI ,4.2,55.1,0.4,0.1,7.7
,high,4.7,68,0.7,0.1,10.9
,low,4,43.4,0.2,0.1,6.6
Alan Cross,TB ,4.4,43.2,0.5,0,7.3
,high,4.4,43.2,0.5,0,7.3
,low,4.4,43.2,0.5,0,7.3
Cooper Helfet,OAK ,4.8,47.9,0.4,0,7.3
,high,4.8,47.9,0.4,0,7.1
,low,4.8,47.9,0.4,0,7.1
Bucky Hodges,MIN ,5.6,56.5,0.3,0,7.3
,high,11.4,114.8,0.8,0,27.8
,low,0,0,0,0,5
Logan Thomas,BUF ,4.6,49.3,0.4,0,7.3
,high,6.2,67.5,0.5,0,15.7
,low,3,31,0.3,0,4.9
Niles Paul,WAS ,4.6,54.2,0.3,0.1,7.1
,high,5.7,65.5,0.7,0.1,10.7
,low,3,38,0,0.1,5
Temarrick Hemingway,LAR ,4.7,49.7,0.3,0,7
,high,8.2,92.2,0.8,0,13.6
,low,3,27,0,0,3
Sean McGrath,LAC ,3.8,45.1,0.4,0.1,6.9
,high,5.5,66.1,0.8,0.1,11.1
,low,2,24,0.1,0.1,3
Jeremy Sprinkle,WAS ,5,48,0.3,0,6.6
,high,5,48,0.3,0,6.6
,low,5,48,0.3,0,6.6
Lee Smith,OAK ,6.5,46.6,0.4,0.1,6.6
,high,8.6,76.4,0.8,0.1,20.9
,low,5,31.4,0.1,0.1,3.5
Luke Stocker,TB ,7.2,51.5,0.3,0.1,6.6
,high,12.7,98.4,0.6,0.1,14.1
,low,3,25,0,0.1,2.5
Randall Telfer,CLE ,5.5,51.4,0.3,0.1,6.5
,high,6.7,62.6,0.5,0.1,12.6
,low,4,30,0,0.1,4.2
Alex Ellis,JAC ,5.4,42.3,0.4,0,6.4
,high,5.4,42.3,0.4,0,6.4
,low,5.4,42.3,0.4,0,6.4
Blake Bell,SF ,3.5,49.1,0.3,0.1,6.3
,high,3.9,55,0.5,0.1,7.5
,low,3,43.1,0,0.1,5.5
Mason Schreck,CIN ,4,41,0.3,0,5.9
,high,4,41,0.3,0,5.9
,low,4,41,0.3,0,5.9
Ben Braunecker,CHI ,4.5,46.3,0.2,0.1,5.8
,high,5,56.7,0.4,0.1,7.8
,low,4,36,0.1,0.1,4.2
MyCole Pruitt,CHI ,6,52,0.1,0.1,5.6
,high,6,52,0.1,0.1,5.8
,low,6,52,0.1,0.1,5.8
Hakeem Valles,ARI ,4.4,43.9,0.2,0,5.6
,high,4.4,43.9,0.2,0,5.9
,low,4.4,43.9,0.2,0,5.9
James O'Shaughnessy,NE ,4.7,47.2,0.1,0.1,5.1
,high,8,82,0.3,0.1,8.2
,low,1,14,0,0.1,1.4
Derek Carrier,WAS ,4.6,37.1,0.2,0.1,4.9
,high,5.2,39.3,0.3,0.1,5.4
,low,4,35,0.2,0.1,4.7
Clay Harbor,NO ,5,35.3,0.3,0.1,4.8
,high,5,37,0.4,0.1,5.6
,low,5,33.5,0.1,0.1,4.3
Cory Harkey,LAR ,4.3,31.6,0.3,0.1,4.7
,high,5.7,49.2,0.6,0.1,8.3
,low,3,14,0,0.1,1.4
Khari Lee,DET ,4,35,0.2,0,4.7
,high,4,35,0.2,0,4.7
,low,4,35,0.2,0,4.7
Brandon Williams,IND ,3,34.8,0.2,0.1,4.4
,high,5.1,59.5,0.6,0.1,9.3
,low,2,20,0,0.1,2
Phillip Supernaw,TEN ,3.4,38.3,0.1,0.2,4.3
,high,5.1,54.8,0.4,0.2,8.1
,low,2,30,0,0.2,3
Braedon Bowman,NO ,3,27,0.2,0,3.9
,high,3,27,0.2,0,3.9
,low,3,27,0.2,0,3.9
Scott Simonson,CAR ,3,31,0,0,3.1
,high,3,31,0,0,3.1
,low,3,31,0,0,3.1
Ryan Hewitt,CIN ,3,24.5,0,0.1,2.3
,high,3,28,0,0.1,2.8
,low,3,21,0,0.1,2.8
