Player,Team,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
Tim Hightower,SF ,84.3,343.9,2.2,14.1,114.8,0.2,1.6,57.3
,high,126,530,3,18,139.3,0.4,1.6,83.6
,low,62.2,268.6,1.2,12,93.5,0,1.6,50.2
Jonathan Williams,BUF ,92.5,387.2,3.1,10.7,72.9,0.2,4.8,56.4
,high,108,518,4.3,16,110,0.7,4.8,92.8
,low,68.9,264.5,0.9,3.5,30.4,0,4.8,36.4
T.J. Yeldon,JAC ,65.2,243.7,1.1,32.1,226.1,0.9,1.5,55.8
,high,80,291,1.3,41.5,295,1.2,1.5,101.2
,low,47,184.7,0.8,24.1,175,0.5,1.5,56.1
Alvin Kamara,NO ,44.5,189.8,1.6,28.6,229.8,0.9,1.5,53.9
,high,57,246,2,44.1,372.8,1.6,1.5,118
,low,36.4,138.9,1,18.1,142.4,0,1.5,38.5
D'Onta Foreman,HOU ,80.5,320.1,2.3,13.5,95.6,0.1,1.3,53.8
,high,98,393,4,25.4,203.7,0.4,1.3,66.7
,low,46.5,181,0.5,4.1,35.4,0,1.3,44.9
Jerick McKinnon,MIN ,58.7,229.4,1,27,186.5,1.1,1.3,51.2
,high,70,283,1.3,34.4,239.6,1.2,1.3,87.8
,low,44.4,175.2,0.5,21,138,1,1.3,48.4
Joe Williams,SF ,71.2,297.6,1.8,14.6,109.7,0.4,1.9,50.5
,high,110,488,3.6,22.7,180.1,1,1.9,88.3
,low,33.8,130.7,0.7,6.2,52.3,0,1.9,30.9
Marlon Mack,IND ,57.1,229.2,1.6,18.3,142.1,0.6,1.3,47.7
,high,84,330,3,27,222,1,1.3,79.2
,low,34,129.6,0.9,10,75,0,1.3,33.8
Donnel Pumphrey,PHI ,63.9,256.9,1.2,17.3,129.3,0.3,1.4,44.7
,high,96,384,2.9,27,213,0.6,1.4,73.5
,low,40.5,168.7,0,11,85,0,1.4,30.1
Devontae Booker,DEN ,72.1,278.8,1.4,16.1,128,0.6,3.8,44.5
,high,96,349,2.5,26,221,1,3.8,76.8
,low,56.4,230.8,0.6,11.1,73.6,0,3.8,34.7
